"Step","hopeful-night-223 - eval/Achievements/collect_wood","hopeful-night-223 - eval/Achievements/collect_wood__MIN","hopeful-night-223 - eval/Achievements/collect_wood__MAX"
"0","57.14285659790039","57.14285659790039","57.14285659790039"
"615","48.10126495361328","48.10126495361328","48.10126495361328"
"1231","35.91549301147461","35.91549301147461","35.91549301147461"
"1847","26.63316535949707","26.63316535949707","26.63316535949707"
"2462","21.072797775268555","21.072797775268555","21.072797775268555"
"3078","19.303796768188477","19.303796768188477","19.303796768188477"
"3694","18.279569625854492","18.279569625854492","18.279569625854492"
"4310","16.24129867553711","16.24129867553711","16.24129867553711"
"4926","14.629258155822754","14.629258155822754","14.629258155822754"
"5541","13.676732063293457","13.676732063293457","13.676732063293457"
"6157","12.861736297607422","12.861736297607422","12.861736297607422"
"6773","12.463342666625977","12.463342666625977","12.463342666625977"
"7389","11.772665977478027","11.772665977478027","11.772665977478027"
"8005","11.80904483795166","11.80904483795166","11.80904483795166"
"8620","11.188811302185059","11.188811302185059","11.188811302185059"
"9236","11.099020957946777","11.099020957946777","11.099020957946777"
"9852","10.692464828491211","10.692464828491211","10.692464828491211"
"10467","10.308284759521484","10.308284759521484","10.308284759521484"
"11083","9.827116012573242","9.827116012573242","9.827116012573242"
"11699","9.655172348022461","9.655172348022461","9.655172348022461"
"12315","9.395424842834473","9.395424842834473","9.395424842834473"
"12931","8.999224662780762","8.999224662780762","8.999224662780762"
"13546","8.702064514160156","8.702064514160156","8.702064514160156"
"14162","8.40395450592041","8.40395450592041","8.40395450592041"
"14778","8.11907958984375","8.11907958984375","8.11907958984375"
"15394","7.916936874389648","7.916936874389648","7.916936874389648"
"16010","7.730673313140869","7.730673313140869","7.730673313140869"
"16625","7.600239276885986","7.600239276885986","7.600239276885986"
"17241","7.576633930206299","7.576633930206299","7.576633930206299"
"17857","7.959641456604004","7.959641456604004","7.959641456604004"
"18472","8.967391014099121","8.967391014099121","8.967391014099121"
"19088","9.60629940032959","9.60629940032959","9.60629940032959"
"19704","10.229007720947266","10.229007720947266","10.229007720947266"
"20320","10.712531089782715","10.712531089782715","10.712531089782715"
"20936","10.857142448425293","10.857142448425293","10.857142448425293"
"21551","11.326860427856445","11.326860427856445","11.326860427856445"
"22167","11.235955238342285","11.235955238342285","11.235955238342285"
"22783","11.21291446685791","11.21291446685791","11.21291446685791"
"23399","11.115842819213867","11.115842819213867","11.115842819213867"
"24015","10.931005477905273","10.931005477905273","10.931005477905273"
"24630","11.14262580871582","11.14262580871582","11.14262580871582"
"25246","11.001187324523926","11.001187324523926","11.001187324523926"
"25862","10.98646068572998","10.98646068572998","10.98646068572998"
"26477","11.090083122253418","11.090083122253418","11.090083122253418"
"27093","10.942136764526367","10.942136764526367","10.942136764526367"
"27709","11.123188018798828","11.123188018798828","11.123188018798828"
"28325","11.174175262451172","11.174175262451172","11.174175262451172"
"28941","11.28808879852295","11.28808879852295","11.28808879852295"
"29556","11.409168243408203","11.409168243408203","11.409168243408203"
"30172","11.905553817749023","11.905553817749023","11.905553817749023"
"30788","12.254901885986328","12.254901885986328","12.254901885986328"
"31404","12.901155471801758","12.901155471801758","12.901155471801758"
"32020","13.113207817077637","13.113207817077637","13.113207817077637"
"32635","13.419513702392578","13.419513702392578","13.419513702392578"
"33251","13.836857795715332","13.836857795715332","13.836857795715332"
"33867","14.523314476013184","14.523314476013184","14.523314476013184"
"34482","14.940180778503418","14.940180778503418","14.940180778503418"
"35098","15.536480903625488","15.536480903625488","15.536480903625488"
"35714","15.808720588684082","15.808720588684082","15.808720588684082"
"36330","15.902815818786621","15.902815818786621","15.902815818786621"
"36946","16.08884048461914","16.08884048461914","16.08884048461914"
"37561","16.42189598083496","16.42189598083496","16.42189598083496"
"38177","16.837135314941406","16.837135314941406","16.837135314941406"
"38793","17.014694213867188","17.014694213867188","17.014694213867188"
"39409","17.389101028442383","17.389101028442383","17.389101028442383"
"40025","17.707292556762695","17.707292556762695","17.707292556762695"
"40640","17.922204971313477","17.922204971313477","17.922204971313477"
"41256","18.192829132080078","18.192829132080078","18.192829132080078"
"41872","18.4681453704834","18.4681453704834","18.4681453704834"
"42487","18.664785385131836","18.664785385131836","18.664785385131836"
"43103","18.829517364501953","18.829517364501953","18.829517364501953"
"43719","18.97810173034668","18.97810173034668","18.97810173034668"
"44335","19.137466430664062","19.137466430664062","19.137466430664062"
"44951","19.327730178833008","19.327730178833008","19.327730178833008"
"45566","19.6159725189209","19.6159725189209","19.6159725189209"
"46182","19.78897476196289","19.78897476196289","19.78897476196289"
"46798","19.851064682006836","19.851064682006836","19.851064682006836"
"47414","19.90352439880371","19.90352439880371","19.90352439880371"
"48030","20.18633460998535","20.18633460998535","20.18633460998535"
"48645","20.460567474365234","20.460567474365234","20.460567474365234"
"49261","20.543258666992188","20.543258666992188","20.543258666992188"
"49877","20.75546646118164","20.75546646118164","20.75546646118164"
"50492","21.141399383544922","21.141399383544922","21.141399383544922"
"51108","21.269163131713867","21.269163131713867","21.269163131713867"
"51724","21.43678092956543","21.43678092956543","21.43678092956543"
"52340","21.502933502197266","21.502933502197266","21.502933502197266"
"52956","21.869159698486328","21.869159698486328","21.869159698486328"
"53571","21.867504119873047","21.867504119873047","21.867504119873047"
"54187","22.005470275878906","22.005470275878906","22.005470275878906"
"54803","22.094070434570312","22.094070434570312","22.094070434570312"
"55419","22.121212005615234","22.121212005615234","22.121212005615234"
"56035","22.447540283203125","22.447540283203125","22.447540283203125"
"56650","22.495637893676758","22.495637893676758","22.495637893676758"
"57266","22.620689392089844","22.620689392089844","22.620689392089844"
"57882","22.918439865112305","22.918439865112305","22.918439865112305"
"58497","23.100252151489258","23.100252151489258","23.100252151489258"
"59113","23.328330993652344","23.328330993652344","23.328330993652344"
"59729","23.3839054107666","23.3839054107666","23.3839054107666"
"60345","23.473718643188477","23.473718643188477","23.473718643188477"
"60961","23.514211654663086","23.514211654663086","23.514211654663086"
"61576","23.75399398803711","23.75399398803711","23.75399398803711"
"62192","23.82985496520996","23.82985496520996","23.82985496520996"
"62808","23.809524536132812","23.809524536132812","23.809524536132812"
"63424","23.77481460571289","23.77481460571289","23.77481460571289"
"64040","23.860671997070312","23.860671997070312","23.860671997070312"
"64655","23.901473999023438","23.901473999023438","23.901473999023438"
"65271","24.06320571899414","24.06320571899414","24.06320571899414"
"65887","24.131763458251953","24.131763458251953","24.131763458251953"
"66502","24.21425437927246","24.21425437927246","24.21425437927246"
"67118","24.30220603942871","24.30220603942871","24.30220603942871"
"67734","24.522293090820312","24.522293090820312","24.522293090820312"
"68350","24.716684341430664","24.716684341430664","24.716684341430664"
"68966","24.818763732910156","24.818763732910156","24.818763732910156"
"69581","25.024658203125","25.024658203125","25.024658203125"
"70197","25.087400436401367","25.087400436401367","25.087400436401367"
"70813","25.183746337890625","25.183746337890625","25.183746337890625"
"71429","25.33351707458496","25.33351707458496","25.33351707458496"
"72045","25.647668838500977","25.647668838500977","25.647668838500977"
"72660","25.652820587158203","25.652820587158203","25.652820587158203"
"73276","25.654098510742188","25.654098510742188","25.654098510742188"
"73892","25.91211700439453","25.91211700439453","25.91211700439453"
"74507","26.010034561157227","26.010034561157227","26.010034561157227"
"75123","26.234447479248047","26.234447479248047","26.234447479248047"
"75739","26.272066116333008","26.272066116333008","26.272066116333008"
"76355","26.41946792602539","26.41946792602539","26.41946792602539"
"76971","26.664112091064453","26.664112091064453","26.664112091064453"
"77586","26.751995086669922","26.751995086669922","26.751995086669922"
"78202","26.876178741455078","26.876178741455078","26.876178741455078"
"78818","27.053682327270508","27.053682327270508","27.053682327270508"
"79434","27.169204711914062","27.169204711914062","27.169204711914062"
"80050","27.34979820251465","27.34979820251465","27.34979820251465"
"80665","27.51890754699707","27.51890754699707","27.51890754699707"
"81281","27.627119064331055","27.627119064331055","27.627119064331055"
"81897","27.886579513549805","27.886579513549805","27.886579513549805"
"82512","27.898378372192383","27.898378372192383","27.898378372192383"
"83128","27.95406150817871","27.95406150817871","27.95406150817871"
"83744","28.022558212280273","28.022558212280273","28.022558212280273"
"84360","28.186588287353516","28.186588287353516","28.186588287353516"
"84976","28.200971603393555","28.200971603393555","28.200971603393555"
"85591","28.30232048034668","28.30232048034668","28.30232048034668"
"86207","28.35310173034668","28.35310173034668","28.35310173034668"
"86823","28.48889923095703","28.48889923095703","28.48889923095703"
"87439","28.521602630615234","28.521602630615234","28.521602630615234"
"88055","28.64641571044922","28.64641571044922","28.64641571044922"
"88670","28.780487060546875","28.780487060546875","28.780487060546875"
"89286","28.922163009643555","28.922163009643555","28.922163009643555"
"89902","29.052722930908203","29.052722930908203","29.052722930908203"
"90517","29.13454246520996","29.13454246520996","29.13454246520996"
"91133","29.188255310058594","29.188255310058594","29.188255310058594"
"91749","29.242650985717773","29.242650985717773","29.242650985717773"
"92365","29.289594650268555","29.289594650268555","29.289594650268555"
"92981","29.358186721801758","29.358186721801758","29.358186721801758"
"93596","29.4359073638916","29.4359073638916","29.4359073638916"
"94212","29.539749145507812","29.539749145507812","29.539749145507812"
"94828","29.657320022583008","29.657320022583008","29.657320022583008"
"95444","29.882450103759766","29.882450103759766","29.882450103759766"
"96060","29.980558395385742","29.980558395385742","29.980558395385742"
"96675","30.055923461914062","30.055923461914062","30.055923461914062"
"97291","30.18391227722168","30.18391227722168","30.18391227722168"
"97907","30.303335189819336","30.303335189819336","30.303335189819336"
"98522","30.363201141357422","30.363201141357422","30.363201141357422"
"99138","30.34934425354004","30.34934425354004","30.34934425354004"
"99754","30.56075668334961","30.56075668334961","30.56075668334961"
"100370","30.596065521240234","30.596065521240234","30.596065521240234"
"100986","30.66239356994629","30.66239356994629","30.66239356994629"
"101601","30.706836700439453","30.706836700439453","30.706836700439453"
"102217","30.778087615966797","30.778087615966797","30.778087615966797"
"102833","30.762630462646484","30.762630462646484","30.762630462646484"
"103449","30.813678741455078","30.813678741455078","30.813678741455078"
"104065","30.790241241455078","30.790241241455078","30.790241241455078"
"104680","30.823970794677734","30.823970794677734","30.823970794677734"
"105296","30.91315269470215","30.91315269470215","30.91315269470215"
"105912","30.988523483276367","30.988523483276367","30.988523483276367"
"106527","30.992267608642578","30.992267608642578","30.992267608642578"
"107143","31.04646873474121","31.04646873474121","31.04646873474121"
"107759","31.207931518554688","31.207931518554688","31.207931518554688"
"108375","31.280521392822266","31.280521392822266","31.280521392822266"
"108991","31.336570739746094","31.336570739746094","31.336570739746094"
"109606","31.390775680541992","31.390775680541992","31.390775680541992"