"Step","hopeful-night-223 - eval/Achievements/collect_coal","hopeful-night-223 - eval/Achievements/collect_coal__MIN","hopeful-night-223 - eval/Achievements/collect_coal__MAX"
"0","0","0","0"
"615","0","0","0"
"1231","0","0","0"
"1847","0","0","0"
"2462","0","0","0"
"3078","0","0","0"
"3694","0","0","0"
"4310","0","0","0"
"4926","0","0","0"
"5541","0","0","0"
"6157","0","0","0"
"6773","0","0","0"
"7389","0","0","0"
"8005","0","0","0"
"8620","0","0","0"
"9236","0","0","0"
"9852","0","0","0"
"10467","0","0","0"
"11083","0","0","0"
"11699","0","0","0"
"12315","0","0","0"
"12931","0","0","0"
"13546","0","0","0"
"14162","0","0","0"
"14778","0","0","0"
"15394","0","0","0"
"16010","0","0","0"
"16625","0","0","0"
"17241","0","0","0"
"17857","0","0","0"
"18472","0","0","0"
"19088","0","0","0"
"19704","0","0","0"
"20320","0","0","0"
"20936","0","0","0"
"21551","0","0","0"
"22167","0","0","0"
"22783","0","0","0"
"23399","0","0","0"
"24015","0","0","0"
"24630","0","0","0"
"25246","0","0","0"
"25862","0","0","0"
"26477","0","0","0"
"27093","0","0","0"
"27709","0","0","0"
"28325","0","0","0"
"28941","0","0","0"
"29556","0","0","0"
"30172","0","0","0"
"30788","0","0","0"
"31404","0","0","0"
"32020","0","0","0"
"32635","0","0","0"
"33251","0","0","0"
"33867","0","0","0"
"34482","0","0","0"
"35098","0","0","0"
"35714","0","0","0"
"36330","0","0","0"
"36946","0","0","0"
"37561","0","0","0"
"38177","0.026226067915558815","0.026226067915558815","0.026226067915558815"
"38793","0.025779839605093002","0.025779839605093002","0.025779839605093002"
"39409","0.025348542258143425","0.025348542258143425","0.025348542258143425"
"40025","0.024975024163722992","0.024975024163722992","0.024975024163722992"
"40640","0.024618415161967278","0.024618415161967278","0.024618415161967278"
"41256","0.02422480657696724","0.02422480657696724","0.02422480657696724"
"41872","0.02386065386235714","0.02386065386235714","0.02386065386235714"
"42487","0.023507287725806236","0.023507287725806236","0.023507287725806236"
"43103","0.02313208393752575","0.02313208393752575","0.02313208393752575"
"43719","0.02281021885573864","0.02281021885573864","0.02281021885573864"
"44335","0.022461814805865288","0.022461814805865288","0.022461814805865288"
"44951","0.022114109247922897","0.022114109247922897","0.022114109247922897"
"45566","0.021819768473505974","0.021819768473505974","0.021819768473505974"
"46182","0.021533161401748657","0.021533161401748657","0.021533161401748657"
"46798","0.021276595070958138","0.021276595070958138","0.021276595070958138"
"47414","0.02097315527498722","0.02097315527498722","0.02097315527498722"
"48030","0.020703934133052826","0.020703934133052826","0.020703934133052826"
"48645","0.020379049703478813","0.020379049703478813","0.020379049703478813"
"49261","0.02012072503566742","0.02012072503566742","0.02012072503566742"
"49877","0.019880715757608414","0.019880715757608414","0.019880715757608414"
"50492","0.01961168833076954","0.01961168833076954","0.01961168833076954"
"51108","0.019406171515583992","0.019406171515583992","0.019406171515583992"
"51724","0.019157087430357933","0.019157087430357933","0.019157087430357933"
"52340","0.018928639590740204","0.018928639590740204","0.018928639590740204"
"52956","0.018691588193178177","0.018691588193178177","0.018691588193178177"
"53571","0.01845358870923519","0.01845358870923519","0.01845358870923519"
"54187","0.01823154091835022","0.01823154091835022","0.01823154091835022"
"54803","0.018021265044808388","0.018021265044808388","0.018021265044808388"
"55419","0.017825311049818993","0.017825311049818993","0.017825311049818993"
"56035","0.017633574083447456","0.017633574083447456","0.017633574083447456"
"56650","0.01745200715959072","0.01745200715959072","0.01745200715959072"
"57266","0.017241379246115685","0.017241379246115685","0.017241379246115685"
"57882","0.017027072608470917","0.017027072608470917","0.017027072608470917"
"58497","0.016849199309945107","0.016849199309945107","0.016849199309945107"
"59113","0.016675004735589027","0.016675004735589027","0.016675004735589027"
"59729","0.016490764915943146","0.016490764915943146","0.016490764915943146"
"60345","0.016323866322636604","0.016323866322636604","0.016323866322636604"
"60961","0.016149871051311493","0.016149871051311493","0.016149871051311493"
"61576","0.015974441543221474","0.015974441543221474","0.015974441543221474"
"62192","0.01581277698278427","0.01581277698278427","0.01581277698278427"
"62808","0.01566416025161743","0.01566416025161743","0.01566416025161743"
"63424","0.015508685261011124","0.015508685261011124","0.015508685261011124"
"64040","0.015344483777880669","0.015344483777880669","0.015344483777880669"
"64655","0.015204500406980515","0.015204500406980515","0.015204500406980515"
"65271","0.01504890900105238","0.01504890900105238","0.01504890900105238"
"65887","0.014905351214110851","0.014905351214110851","0.014905351214110851"
"66502","0.0147557919844985","0.0147557919844985","0.0147557919844985"
"67118","0.014613473787903786","0.014613473787903786","0.014613473787903786"
"67734","0.014475969597697258","0.014475969597697258","0.014475969597697258"
"68350","0.014345143921673298","0.014345143921673298","0.014345143921673298"
"68966","0.01421464141458273","0.01421464141458273","0.01421464141458273"
"69581","0.01409046072512865","0.01409046072512865","0.01409046072512865"
"70197","0.013984058052301407","0.013984058052301407","0.013984058052301407"
"70813","0.013867702335119247","0.013867702335119247","0.013867702335119247"
"71429","0.01375326607376337","0.01375326607376337","0.01375326607376337"
"72045","0.013635124079883099","0.013635124079883099","0.013635124079883099"
"72660","0.013529968447983265","0.013529968447983265","0.013529968447983265"
"73276","0.013417416252195835","0.013417416252195835","0.013417416252195835"
"73892","0.013315578922629356","0.013315578922629356","0.013315578922629356"
"74507","0.013203063048422337","0.013203063048422337","0.013203063048422337"
"75123","0.013097576797008514","0.013097576797008514","0.013097576797008514"
"75739","0.012980270199477673","0.012980270199477673","0.012980270199477673"
"76355","0.012874984182417393","0.012874984182417393","0.012874984182417393"
"76971","0.012776287272572517","0.012776287272572517","0.012776287272572517"
"77586","0.0126726645976305","0.0126726645976305","0.0126726645976305"
"78202","0.01257070992141962","0.01257070992141962","0.01257070992141962"
"78818","0.012484394945204258","0.012484394945204258","0.012484394945204258"
"79434","0.012377769686281681","0.012377769686281681","0.012377769686281681"
"80050","0.01228652149438858","0.01228652149438858","0.01228652149438858"
"80665","0.012198097072541714","0.012198097072541714","0.012198097072541714"
"81281","0.012106537818908691","0.012106537818908691","0.012106537818908691"
"81897","0.012014898471534252","0.012014898471534252","0.012014898471534252"
"82512","0.011927480809390545","0.011927480809390545","0.011927480809390545"
"83128","0.01183992438018322","0.01183992438018322","0.01183992438018322"
"83744","0.011749500408768654","0.011749500408768654","0.011749500408768654"
"84360","0.011661808006465435","0.011661808006465435","0.011661808006465435"
"84976","0.011576754041016102","0.011576754041016102","0.011576754041016102"
"85591","0.01148633100092411","0.01148633100092411","0.01148633100092411"
"86207","0.01140510942786932","0.01140510942786932","0.01140510942786932"
"86823","0.011327593587338924","0.011327593587338924","0.011327593587338924"
"87439","0.011251125484704971","0.011251125484704971","0.011251125484704971"
"88055","0.011168193072080612","0.011168193072080612","0.011168193072080612"
"88670","0.011086474172770977","0.011086474172770977","0.011086474172770977"
"89286","0.011009578593075275","0.011009578593075275","0.011009578593075275"
"89902","0.010938525199890137","0.010938525199890137","0.010938525199890137"
"90517","0.01085894275456667","0.01085894275456667","0.01085894275456667"
"91133","0.010794472880661488","0.010794472880661488","0.010794472880661488"
"91749","0.010727311484515667","0.010727311484515667","0.010727311484515667"
"92365","0.010650761425495148","0.010650761425495148","0.010650761425495148"
"92981","0.010590976104140282","0.010590976104140282","0.010590976104140282"
"93596","0.010524100624024868","0.010524100624024868","0.010524100624024868"
"94212","0.01046025101095438","0.01046025101095438","0.01046025101095438"
"94828","0.010384215973317623","0.010384215973317623","0.010384215973317623"
"95444","0.01031140424311161","0.01031140424311161","0.01031140424311161"
"96060","0.010232272557914257","0.010232272557914257","0.010232272557914257"
"96675","0.010167768225073814","0.010167768225073814","0.010167768225073814"
"97291","0.010105093009769917","0.010105093009769917","0.010105093009769917"
"97907","0.010044194757938385","0.010044194757938385","0.010044194757938385"
"98522","0.009978048503398895","0.009978048503398895","0.009978048503398895"
"99138","0.009924572892487049","0.009924572892487049","0.009924572892487049"
"99754","0.00985512975603342","0.00985512975603342","0.00985512975603342"
"100370","0.009787608869373798","0.009787608869373798","0.009787608869373798"
"100986","0.00971250981092453","0.00971250981092453","0.00971250981092453"
"101601","0.009656238369643688","0.009656238369643688","0.009656238369643688"
"102217","0.009594166651368141","0.009594166651368141","0.009594166651368141"
"102833","0.009532888419926167","0.009532888419926167","0.009532888419926167"
"103449","0.009472387842833996","0.009472387842833996","0.009472387842833996"
"104065","0.009418856352567673","0.009418856352567673","0.009418856352567673"
"104680","0.009363295510411263","0.009363295510411263","0.009363295510411263"
"105296","0.009308386594057083","0.009308386594057083","0.009308386594057083"
"105912","0.009255831129848957","0.009255831129848957","0.009255831129848957"
"106527","0.009204712696373463","0.009204712696373463","0.009204712696373463"
"107143","0.009147456847131252","0.009147456847131252","0.009147456847131252"
"107759","0.009095870889723301","0.009095870889723301","0.009095870889723301"
"108375","0.009043226949870586","0.009043226949870586","0.009043226949870586"
"108991","0.008994423784315586","0.008994423784315586","0.008994423784315586"
"109606","0.008938147686421871","0.008938147686421871","0.008938147686421871"
"110222","0.00888415053486824","0.00888415053486824","0.00888415053486824"
"110838","0.00883314199745655","0.00883314199745655","0.00883314199745655"